Code Domaine;Domaine;Code zone (FAO);Zone;Code Élément;Élément;Code Produit;Produit;Code année;Année;Unité;Valeur;Symbole;Description du Symbole
FBS;Nouveaux Bilans Alimentaire;351;Chine;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2441;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;96;Chine - RAS de Hong-Kong;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;1938;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;128;Chine - RAS de Macao;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2254;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;41;Chine, continentale;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2446;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;214;Chine, Taiwan Province de;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2295;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;50;Chypre;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2333;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;44;Colombie;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2558;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;46;Congo;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2011;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;48;Costa Rica;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2326;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;107;Côte d'Ivoire;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2668;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;98;Croatie;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2149;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;49;Cuba;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2886;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;54;Danemark;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2156;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;72;Djibouti;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2439;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;55;Dominique;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2260;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;59;Égypte;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;3047;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;60;El Salvador;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2224;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;225;Émirats arabes unis;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2639;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;58;Équateur;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2071;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;203;Espagne;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2438;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;63;Estonie;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2066;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;209;Eswatini;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2149;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;231;États-Unis d'Amérique;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2753;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;238;Éthiopie;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2231;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;185;Fédération de Russie;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2522;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;66;Fidji;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2320;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;67;Finlande;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;1988;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;68;France;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2396;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;74;Gabon;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2261;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;75;Gambie;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2359;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;73;Géorgie;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2260;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;81;Ghana;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2872;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;84;Grèce;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2585;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;86;Grenade;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;1802;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;89;Guatemala;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2254;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;90;Guinée;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2596;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;175;Guinée-Bissau;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2061;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;91;Guyana;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2376;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;93;Haïti;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;1991;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;95;Honduras;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2332;Fc;Donnée calculée
